x, f1, f2
-22612.13, 511308629.37, 511399081.91
30314.18, 918949599.37, 918828346.64
22207.29, 493163611.62, 493074786.47
-47941.03, 2298342719.95, 2298534488.08
-23346.36, 545052383.27, 545145772.70
38743.54, 1501061599.41, 1500906629.26
63815.41, 4072406019.80, 4072150762.18
-2235.05, 4995434.47, 5004378.66
-39132.71, 1531368686.96, 1531525221.79
60660.24, 3679664367.38, 3679421730.44
-81511.93, 6644194527.36, 6644520579.08
-99858.02, 9971624060.12, 9972023496.19
-61878.87, 3828994981.80, 3829242501.29
78605.11, 6178762738.47, 6178448322.04
-72593.60, 5269831185.83, 5270121564.24
-99956.82, 9991365065.40, 9991764896.66
56978.94, 3246599798.42, 3246371886.66
72643.63, 5277096582.09, 5276806011.58
-89128.81, 7943945052.64, 7944301571.89
-33178.77, 1100830581.32, 1100963300.39
43105.49, 1858083580.32, 1857911162.35
-75657.33, 5724031587.22, 5724334220.54
-26937.44, 725625922.45, 725733676.23
18613.95, 346478966.50, 346404514.72
-22660.24, 513486445.18, 513577090.13
90260.80, 8147012367.92, 8146651328.71
-2086.13, 4351935.40, 4360283.92
42546.13, 1810173052.73, 1810002872.21
13679.59, 187131097.03, 187076382.68
10371.52, 107568370.15, 107526888.08
-82448.72, 6797792163.71, 6798121962.61
-98273.45, 9657671441.38, 9658064539.19
464.25, 215530.93, 213677.92
-82479.42, 6802854894.75, 6803184816.43
-68196.41, 4650750323.72, 4651023113.36
89587.88, 8025988883.45, 8025630535.91
58195.81, 3386752328.94, 3386519549.70
86490.45, 7480597504.90, 7480251547.11
-77978.50, 6080646313.51, 6080958231.51
-43545.21, 1896184967.19, 1896359152.01
61167.56, 3741470517.49, 3741225851.24
35298.95, 1246015642.96, 1245874451.17
-74074.31, 5487003934.69, 5487300235.95
-247.93, 61469.57, 62465.29
79533.99, 6325655394.77, 6325337262.82
-20504.36, 420428772.39, 420510793.83
-18497.24, 342147828.51, 342221821.46
-38340.05, 1469959097.83, 1470112462.02
-6130.34, 37581020.39, 37605545.74
23189.96, 537774397.70, 537681641.85
-58950.46, 3475157123.99, 3475392929.85
68269.91, 4660780531.94, 4660507456.30
-25127.38, 631385169.91, 631485683.42
-51669.89, 2669777524.04, 2669984207.59
-5684.37, 32312097.60, 32334839.09
6966.34, 48529909.24, 48502047.87
-38794.87, 1505042319.18, 1505197502.68
-13999.16, 195976612.37, 196032613.02
13705.86, 187850606.24, 187795786.80
15005.24, 225157167.96, 225097151.01
54875.69, 3011341152.77, 3011121654.02
-83363.57, 6949484567.76, 6949818026.03
-72459.90, 5250436768.35, 5250726611.94
13696.52, 187594760.03, 187539977.93
3006.02, 9036179.99, 9024159.89
-91045.55, 8289292353.80, 8289656540.01
31913.83, 1018492688.44, 1018365037.11
-87930.06, 7731694752.49, 7732046476.72
-98178.11, 9638940941.29, 9639333657.73
-73723.32, 5435128015.56, 5435422912.85
-92210.85, 8502841707.66, 8503210555.08
60358.41, 3643137316.12, 3642895886.49
72795.35, 5299163679.63, 5298872502.21
-66499.85, 4422230670.28, 4422496673.70
-74600.01, 5565161235.85, 5565459639.89
19838.87, 393580844.30, 393501492.82
-75874.65, 5756962137.17, 5757265639.76
6970.85, 48592785.29, 48564905.88
-47494.00, 2255679920.67, 2255869900.67
-65771.57, 4325900020.25, 4326163110.55
40387.21, 1631126456.80, 1630964911.97
-76106.39, 5792182649.25, 5792487078.81
-91461.02, 8365118128.78, 8365483976.86
-8850.00, 78322588.16, 78357992.18
83272.88, 6934372406.34, 6934039318.83
-51148.99, 2616219140.45, 2616423740.41
54424.33, 2962007530.52, 2961789837.20
48079.60, 2311647579.64, 2311455265.26
60428.51, 3651604643.11, 3651362933.08
-51929.68, 2696691404.20, 2696899126.91
94845.10, 8995593600.53, 8995214224.11
5604.71, 31412719.28, 31390304.46
67597.43, 4569411933.57, 4569141547.86
98275.52, 9658077479.31, 9657684381.24
47707.14, 2275971664.79, 2275780840.21
21504.04, 462423722.66, 462337710.50
-11257.26, 126725975.98, 126771009.04
-8022.94, 64367499.49, 64399595.23
-98704.98, 9742673001.31, 9743067825.23
-47388.53, 2245672771.18, 2245862329.30
-28825.77, 830925072.09, 831040379.18
21566.88, 465130315.14, 465044051.62
16582.29, 274972460.39, 274906135.22
14205.44, 201794388.03, 201737570.29
-53286.38, 2839437845.97, 2839650995.47
53936.11, 2909103872.47, 2908888132.03
50901.06, 2590918356.96, 2590714756.70
31850.04, 1014425112.40, 1014297716.23
96131.28, 9241222449.18, 9240837928.07
40816.75, 1666006958.86, 1665843695.87
10099.90, 102008025.73, 101967630.12
-33033.73, 1091227420.81, 1091359559.73
68.94, 4752.44, 4480.69
-47239.78, 2231596869.45, 2231785832.57
-23506.23, 552543074.67, 552637103.61
48075.89, 2311290973.93, 2311098674.38
-17839.44, 318245755.48, 318317117.26
63261.05, 4001960861.08, 4001707820.87
-14219.95, 202206949.04, 202263832.84
43217.68, 1867768166.41, 1867595299.68
-91752.29, 8418482414.40, 8418849427.56
-52054.03, 2709621849.89, 2709830070.01
91804.43, 8428052502.89, 8427685289.19
67643.46, 4575637629.59, 4575367059.76
36505.53, 1332653512.93, 1332507494.82
-79877.96, 6380488382.38, 6380807898.22
-37894.47, 1435990696.26, 1436142278.13
69104.35, 4775411561.14, 4775135147.73
-48318.16, 2334645057.28, 2334838333.94
-37626.81, 1415776768.35, 1415927279.58
-6160.73, 37954598.60, 37979245.52
-64740.74, 4191363751.44, 4191622718.41
29321.71, 859762882.14, 859645599.29
54736.53, 2996087719.77, 2995868777.65
-13475.25, 181582327.75, 181636232.74
96566.86, 9325158398.48, 9324772135.04
-99364.73, 9873350489.56, 9873747952.50
-21161.99, 447829733.40, 447914385.35
-67170.98, 4511941221.01, 4512209908.94
84377.53, 7119567314.62, 7119229808.50
8939.43, 79913381.08, 79877627.36
-8702.51, 75733612.58, 75768426.60
-68578.27, 4702978703.28, 4703253020.35
-49236.06, 2424189975.36, 2424386923.61
-69411.92, 4818014313.45, 4818291965.12
29852.93, 891197467.70, 891078059.98
87787.33, 7706614990.87, 7706263845.56
-31351.32, 982905098.07, 983030507.34
-38809.81, 1506201571.25, 1506356814.50
15497.72, 240179456.69, 240117469.79
-37129.50, 1378599849.71, 1378748371.72
99776.02, 9955254979.88, 9954855879.78
-15311.50, 234441915.74, 234503165.73
-7159.63, 51260231.65, 51288874.15
-86446.12, 7472931280.57, 7473277069.04
-17276.36, 298472739.89, 298541849.35
38707.89, 1498300957.98, 1498146130.41
-46417.96, 2154626612.71, 2154812288.53
97536.53, 9513375571.57, 9512985429.43
-76913.30, 5915655407.80, 5915963064.99
1514.42, 2293455.50, 2287401.83
56218.18, 3160483639.23, 3160258770.51
-92044.55, 8472199254.50, 8472567436.71
-93102.83, 8668137626.59, 8668510041.93
-47140.08, 2222187586.22, 2222376150.56
-37830.41, 1431139835.97, 1431291161.61
-90482.85, 8187145619.68, 8187507555.06
21834.05, 476725585.04, 476638252.85
-30174.39, 910493524.39, 910614225.93
-72183.50, 5210458214.70, 5210746952.72
28288.01, 800211754.86, 800098606.80
-67024.81, 4492325426.86, 4492593530.11
18266.62, 333669255.71, 333596193.25
1409.81, 1987560.94, 1981925.70
8263.78, 68290031.71, 68256980.59
81485.80, 6639935961.56, 6639610022.35
-71448.41, 5104875500.17, 5105161297.82
72739.09, 5290975395.78, 5290684443.42
-12760.70, 162835356.81, 162886403.59
-83162.84, 6916058659.40, 6916391314.77
48234.77, 2326592709.86, 2326399774.79
25551.11, 652859209.45, 652757009.01
-85.50, 7309.70, 7655.68
58453.58, 3416820638.72, 3416586828.41
-9636.77, 92867268.99, 92905820.05
-42700.99, 1823374417.89, 1823545225.84
-64259.64, 4129300906.33, 4129557948.88
-22188.42, 492325850.32, 492414607.98
-25520.29, 651284984.92, 651387070.06
12981.79, 168526910.51, 168474987.34
62891.18, 3955300094.12, 3955048533.41
21015.61, 441655926.30, 441571867.86
-85078.26, 7238309904.07, 7238650221.10
86821.75, 7538015504.47, 7537668221.49
15520.61, 240889415.07, 240827336.62
-29258.67, 856069905.74, 856186944.43
93923.85, 8821688761.04, 8821313069.66
19778.09, 391173022.05, 391093913.67
-62136.15, 3860901251.12, 3861149799.73
-51261.82, 2627774533.12, 2627979584.42
15320.00, 234702357.89, 234641081.90
-65354.88, 4271260986.70, 4271522410.24
97514.11, 9509000755.56, 9508610703.14
66039.46, 4361210931.16, 4360946777.30
-18910.97, 357624745.92, 357700393.79
-46403.31, 2153266796.03, 2153452413.26
65677.21, 4313496412.57, 4313233707.71
68717.99, 4722161997.93, 4721887129.98
14880.95, 221442726.47, 221383206.66
-16733.51, 280010436.71, 280077374.76
89806.25, 8065163301.72, 8064804080.71
-73391.32, 5386285714.90, 5386579284.17
11863.05, 140731952.71, 140684504.51
-9864.71, 97312525.46, 97351988.31
51941.83, 2697954082.22, 2697746318.88
-54009.24, 2916998472.79, 2917214513.77
-76034.70, 5781274924.51, 5781579067.29
5824.69, 33927051.09, 33903756.32
-91078.60, 8295311357.46, 8295675675.86
-84468.06, 7134853904.04, 7135191780.29
-86101.97, 7413549653.23, 7413894065.12
-49266.48, 2427186345.01, 2427383414.94
49261.79, 2426723927.33, 2426526884.17
-42722.37, 1825200659.40, 1825371552.87
29729.09, 883818540.14, 883699627.80
-9487.53, 90013206.84, 90051160.95
12026.37, 144633489.79, 144585388.32
17121.33, 293140040.31, 293071558.98
96553.32, 9322542918.73, 9322156709.47
-50725.38, 2573064616.82, 2573267522.36
3021.05, 9126729.05, 9114648.86
-38033.35, 1446535701.92, 1446687839.32
46577.86, 2169496642.72, 2169310335.30
-70724.95, 5002017984.23, 5002300888.01
-71862.96, 5164285161.04, 5164572616.88
-88875.87, 7898920293.51, 7899275800.99
-34483.26, 1189094966.06, 1189232903.09
-93069.43, 8661919640.61, 8662291922.34
9965.37, 99308673.07, 99268815.58
-56520.22, 3194535221.29, 3194761306.17
-34220.10, 1171015359.12, 1171152243.53
-2478.07, 6140814.25, 6150730.52
14986.55, 224596558.84, 224536616.65
-97272.12, 9461864506.64, 9462253599.10
57685.16, 3327577141.17, 3327346404.55
-59716.81, 3566097697.07, 3566336568.32
23682.27, 560850096.14, 560755371.05
97188.18, 9445541450.22, 9445152701.52
22405.65, 502013199.80, 501923581.20
-83104.60, 6906374497.36, 6906706919.76
-27464.23, 754283763.67, 754393624.58
15744.61, 247892753.59, 247829779.14
-2987.18, 8923254.61, 8935207.33
95931.92, 9202933139.87, 9202549416.20
46738.34, 2184472570.94, 2184285621.57
23409.44, 548001685.64, 547908051.90
-2330.62, 5431793.80, 5441120.29
55554.55, 3086307921.84, 3086085707.64
-8882.18, 78893077.87, 78928610.58
86916.80, 7554529860.22, 7554182197.03
62364.35, 3889312005.31, 3889062551.91
20046.51, 401862442.60, 401782260.58
29157.80, 850177124.57, 850060497.38
45685.01, 2087120436.25, 2086937700.20
75584.28, 5712983254.98, 5712680921.86
32026.84, 1025718240.28, 1025590136.93
75093.13, 5638977728.89, 5638677360.38
86114.23, 7415660527.86, 7415316074.94
-27065.48, 732540370.87, 732648636.80
89366.02, 7986286249.28, 7985928789.19
24760.99, 613106785.77, 613007745.79
-37805.69, 1429270457.08, 1429421683.85
31829.36, 1013107857.60, 1012980544.18
-35404.74, 1253495889.71, 1253637512.68
-6533.42, 42685629.66, 42711767.35
9796.22, 95965985.69, 95926804.80
-7220.14, 52130416.43, 52159300.99
-76613.16, 5869576634.97, 5869883091.62
-18272.35, 333878832.37, 333951925.77
49456.08, 2445904087.34, 2445706267.01
-35726.90, 1276411480.86, 1276554392.47
23500.61, 552278708.11, 552184709.67
-7941.52, 63067714.66, 63099484.73
-43570.31, 1898371740.47, 1898546025.70
-95302.61, 9082587285.98, 9082968500.42
29285.76, 857656011.33, 857538872.27
-7651.01, 58537958.25, 58568566.29
-68604.82, 4706621298.58, 4706895721.86
81410.55, 6627677522.91, 6627351884.72
-1816.26, 3298805.29, 3306074.33
16835.74, 283442002.46, 283374663.52
363.61, 132210.12, 130759.69
98706.21, 9742916754.95, 9742521934.09
-26556.36, 705240452.37, 705346681.82
34934.54, 1220421999.54, 1220282265.38
1578.77, 2492499.68, 2486188.62
-71941.60, 5175593848.53, 5175881618.93
-9534.89, 90914170.94, 90952314.51
37111.95, 1377296916.83, 1377148473.03
-34537.55, 1192842675.40, 1192980829.62
90589.96, 8206541690.44, 8206179334.58
-80897.97, 6544481099.69, 6544804695.56
-75015.65, 5627347913.56, 5627647980.17
26040.07, 678085434.40, 677981278.10
-13226.29, 174934829.26, 174987738.43
11416.07, 130326586.31, 130280926.04
-47211.64, 2228939412.01, 2229128262.59
1707.72, 2916313.23, 2909486.34
6301.84, 39713190.11, 39687986.75
-18440.77, 340061870.18, 340135637.25
17463.30, 304966898.67, 304897049.47
-79582.20, 6333326095.25, 6333644428.04
77876.04, 6064676943.01, 6064365442.87
24647.86, 607517127.29, 607418539.84
5827.93, 33964727.03, 33941419.32
-32978.60, 1087587926.62, 1087719845.01
-25241.79, 637148053.56, 637249024.73
-95046.05, 9033751441.82, 9034131630.02
-34209.01, 1170256546.61, 1170393386.66
70436.03, 4961234771.56, 4960953031.42
-17272.47, 298338062.28, 298407156.14
-23106.02, 533888325.15, 533980753.25
54638.27, 2985340282.71, 2985121733.64
36567.74, 1337199566.89, 1337053299.93
7393.28, 54660591.49, 54631022.37
-71608.44, 5127768995.65, 5128055433.42
-8013.31, 64213062.26, 64245119.49
-79609.05, 6337601630.73, 6337920070.95
21658.50, 469090754.40, 469004124.38
-80749.47, 6520476566.98, 6520799568.85
1412.51, 1995192.42, 1989546.37
-60684.33, 3682588393.45, 3682831134.79
-32311.80, 1044052378.18, 1044181629.38
91454.48, 8363921694.72, 8363555880.80
-99229.19, 9846431710.98, 9846828631.73
20460.73, 418641514.98, 418559676.06
93163.96, 8679523534.62, 8679150882.77
-2711.23, 7350785.86, 7361634.79
-59510.37, 3541484440.34, 3541722485.83
27985.30, 783176866.37, 783064929.18
93185.60, 8683556758.95, 8683184020.53
-46918.69, 2201363921.76, 2201551600.54
44780.67, 2005308102.71, 2005128984.05
46578.54, 2169560581.87, 2169374271.70
75604.19, 5715993870.85, 5715691458.08
-2795.39, 7814206.74, 7825392.30
-50318.02, 2531902711.01, 2532103987.07
-76549.47, 5859821189.52, 5860127391.39
-49641.56, 2464283983.20, 2464482553.42
11794.61, 139112759.36, 139065584.93
2372.70, 5629704.57, 5620217.77
-84618.41, 7160275825.43, 7160614303.08
-99478.83, 9896037071.98, 9896434991.29
32512.36, 1057053571.31, 1056923525.87
14582.62, 212652938.47, 212594611.97
66689.23, 4447453104.89, 4447186351.98
-74214.17, 5507743369.86, 5508040230.54
45359.60, 2057493087.01, 2057311652.62
19554.29, 382370134.71, 382291921.56
-65969.31, 4351949647.08, 4352213528.31
33853.13, 1146034169.14, 1145898760.64
-37859.37, 1433331537.86, 1433482979.32
6977.49, 48685411.74, 48657505.77
5563.96, 30957634.75, 30935382.92
67939.25, 4615742075.80, 4615470322.78
-94657.37, 8960017805.84, 8960396439.33
7197.21, 51799801.51, 51771016.68
44211.52, 1954658813.58, 1954481971.48
88866.60, 7897273214.55, 7896917752.14
90439.97, 8179387274.58, 8179025518.72
40817.03, 1666029805.86, 1665866541.75
-14332.54, 205421805.65, 205479139.82
-82040.14, 6730583930.75, 6730912095.29
-97420.69, 9490790480.08, 9491180166.83
-96586.58, 9328967151.26, 9329353501.58
-28842.72, 831902505.63, 832017880.51
-91200.82, 8317589851.55, 8317954658.84
8649.83, 74819564.43, 74784969.10
-40313.76, 1625199133.13, 1625360392.16
-59305.08, 3517092280.71, 3517329505.03
64556.00, 4167477250.86, 4167219030.86
40378.08, 1630389061.07, 1630227552.76
-491.00, 241082.30, 243050.31
33388.00, 1114758638.64, 1114625090.63
78211.27, 6117002091.10, 6116689250.04
76456.24, 5845556651.63, 5845250830.66
-86975.33, 7564707462.60, 7565055367.90
-23413.28, 548181517.33, 548275174.43
-30192.73, 911600960.68, 911721735.60
1471.13, 2164236.86, 2158356.32
-30152.59, 909178546.14, 909299160.49
15294.29, 233915399.87, 233854226.70
7145.69, 51060846.20, 51032267.45
-55892.97, 3124024115.58, 3124247691.46
9449.90, 89300651.81, 89262856.20
10805.21, 116752481.63, 116709264.81
25127.21, 631376704.49, 631276199.65
30117.16, 907043565.97, 906923101.31
-84765.70, 7185223506.85, 7185562573.64
91004.65, 8281847189.10, 8281483174.48
21204.92, 449648665.61, 449563849.93
7412.07, 54938780.33, 54909136.05
79212.01, 6274543137.33, 6274226293.27
17536.96, 307544857.20, 307474713.37
-27313.39, 746021361.11, 746130618.68
98269.53, 9656901085.85, 9656508011.72
28206.29, 795594532.12, 795481710.98
-32755.44, 1072919036.78, 1073050062.55
-60127.57, 3615324325.96, 3615564840.23
43098.42, 1857473380.44, 1857300990.78
89267.01, 7968598762.64, 7968241698.60
-8333.63, 69449469.34, 69482807.88
14928.48, 222859474.71, 222799764.80
38726.41, 1499734810.10, 1499579908.47
-215.54, 46457.95, 47324.12
-15091.44, 227751447.87, 227811817.61
88952.92, 7912621243.10, 7912265435.44
29528.58, 871936876.05, 871818765.74
59300.33, 3516528578.99, 3516291381.69
28231.07, 796993532.61, 796880612.31
-85693.84, 7343434910.45, 7343777689.82
81917.79, 6710525025.48, 6710197358.30
58781.92, 3455314676.68, 3455079552.98
-26083.02, 680323859.42, 680428195.50
85486.01, 7307858366.35, 7307516426.29
61159.44, 3740476766.08, 3740232132.33
-99572.68, 9914719328.18, 9915117622.92
5593.98, 31292618.58, 31270246.66
68980.36, 4758289810.70, 4758013893.27
58591.41, 3432953002.67, 3432718641.04
9828.43, 96598030.13, 96558720.41
48966.76, 2397743490.14, 2397547627.10
-79729.16, 6356739374.49, 6357058295.14
-42241.98, 1784384661.55, 1784553633.46
-20875.00, 435765556.63, 435849060.63
23454.82, 550128376.94, 550034561.68
-79413.96, 6306577098.42, 6306894758.26
43020.22, 1850739496.51, 1850567419.62
22888.99, 523906021.73, 523814469.76
88496.02, 7831544929.67, 7831190949.60
-2289.45, 5241592.25, 5250754.06
-41928.59, 1758006793.80, 1758174512.16
29926.91, 895619726.28, 895500022.66
-85166.24, 7253289078.08, 7253629747.06
76900.42, 5913674406.75, 5913366809.08
-81304.88, 6610483699.84, 6610808923.37
15197.70, 230969936.63, 230909149.85
99199.16, 9840472760.46, 9840075967.83
-66571.83, 4431807901.14, 4432074192.44
60336.37, 3640477991.62, 3640236650.12
5783.15, 33444848.91, 33421720.30
77479.43, 6003062678.73, 6002752764.99
84251.46, 7098308861.78, 7097971859.93
-9141.93, 83574847.92, 83611419.63
30029.44, 901767009.15, 901646895.41
12789.56, 163572900.89, 163521746.64
89966.57, 8093984544.05, 8093624681.75
78476.87, 6158618856.71, 6158304953.24
-79857.77, 6377263352.91, 6377582787.99
-83688.66, 7003792353.70, 7004127112.35
-83039.20, 6895508521.75, 6895840682.54
-12370.12, 153019791.76, 153069276.23
-44157.03, 1949843573.07, 1950020205.20
-53729.35, 2886842679.35, 2887057600.74
95528.16, 9125629350.44, 9125247241.80
51793.96, 2682614610.43, 2682407438.57
52291.54, 2734404824.95, 2734195662.80
-80683.44, 6509817892.04, 6510140629.81
-50744.17, 2574970754.25, 2575173734.93
54842.11, 3007657478.53, 3007438114.07
-56578.28, 3201101647.86, 3201327964.98
90825.00, 8249181526.48, 8248818230.46
80713.34, 6514642448.94, 6514319599.60
43730.71, 1912374742.10, 1912199823.27
-35670.74, 1272401526.29, 1272544213.24
-83349.88, 6947202753.03, 6947536156.55
92672.11, 8588119826.46, 8587749142.02
71590.47, 5125194858.06, 5124908500.19
-31097.14, 967032297.89, 967156690.46
24305.73, 590768561.70, 590671342.78
-58987.29, 3479500611.70, 3479736564.87
53445.29, 2856399190.27, 2856185413.11
69680.95, 4855434578.96, 4855155859.17
-29243.86, 855203503.46, 855320482.91
72749.16, 5292439818.45, 5292148825.82
60729.54, 3688077298.00, 3687834383.83
64018.07, 4098313484.37, 4098057416.08
-84893.29, 7206871052.66, 7207210629.83
5539.74, 30688721.99, 30666567.03
-38206.53, 1459738839.66, 1459891669.78
30809.88, 949248660.51, 949125424.99
-68143.04, 4643474370.64, 4643746946.81
42815.63, 1833177750.94, 1833006492.44
-42335.86, 1792325407.00, 1792494754.46
-27106.17, 734744345.25, 734852773.93
-14911.75, 222360430.60, 222420081.61
-6788.52, 46084065.69, 46111223.79
9586.89, 91908485.16, 91870141.60
64745.28, 4191950811.92, 4191691834.81
-72861.85, 5308849609.42, 5309141060.83
-63336.53, 4011515418.10, 4011768768.20
23975.72, 574835358.82, 574739459.92
32695.07, 1068967395.57, 1068836619.30
66062.83, 4364297515.68, 4364033268.36
-53862.38, 2901156303.58, 2901371757.12
35401.63, 1253275617.92, 1253134015.39
-75565.14, 5710090563.08, 5710392827.65
-53135.12, 2823340599.22, 2823553143.68
61223.37, 3748301230.12, 3748056340.63
-7197.22, 51800019.36, 51828812.25
-70543.65, 4976406939.87, 4976689118.49
81062.74, 6571167741.92, 6570843494.97
60614.95, 3674171700.69, 3673929244.91
89054.20, 7930650678.57, 7930294465.77
-83564.05, 6982950813.49, 6983285073.70
-49672.96, 2467403160.48, 2467601856.33
50173.51, 2517381355.55, 2517180665.50
27532.09, 758015900.12, 757905775.76
-31445.03, 988790186.19, 988915970.33
-1542.65, 2379773.46, 2385948.07
-32472.40, 1054456518.30, 1054586411.89
-25300.77, 640128968.15, 640230175.23
-61578.29, 3791885548.98, 3792131866.14
74764.58, 5589742086.75, 5589443032.43
-39590.03, 1567370577.01, 1567528941.13
-85013.76, 7227339545.34, 7227679604.38
27911.12, 779030778.29, 778919137.80
31390.71, 985376446.29, 985250887.46
51954.25, 2699244121.58, 2699036308.58
80359.97, 6457725497.86, 6457404061.97
-11320.24, 128147859.56, 128193144.52
16223.32, 263196159.69, 263131270.41
-54191.67, 2936736557.48, 2936953328.14
-82631.21, 6827917041.83, 6828247570.67
68195.73, 4650657824.64, 4650385045.71
12757.08, 162743040.19, 162692015.87
30727.96, 944207757.44, 944084849.59
50639.52, 2564361051.42, 2564158497.34
44936.83, 2019318929.22, 2019139185.89
-96048.74, 9225361167.62, 9225745366.59
90583.80, 8205424318.05, 8205061986.86
79527.00, 6324542948.21, 6324224844.23
-78410.32, 6148177727.76, 6148491373.03
-38420.65, 1476146317.00, 1476300003.59
22483.40, 505503468.98, 505413539.36
57059.31, 3255765288.89, 3255537055.63
40116.31, 1609318517.76, 1609158056.51
-97995.49, 9603115554.06, 9603507540.01
-45808.34, 2098404030.79, 2098587268.15
93987.75, 8833697267.40, 8833321320.40
12318.12, 151735982.68, 151686714.21
58747.57, 3451277227.99, 3451042241.70
-96343.58, 9282085687.48, 9282471065.81
6754.24, 45619761.18, 45592748.22
46679.07, 2178935756.09, 2178749043.80
77529.57, 6010833494.78, 6010523380.52
66037.15, 4360904725.74, 4360640581.15
-84472.66, 7135630579.59, 7135968474.24
-96140.53, 9243001483.28, 9243386049.40
88962.62, 7914346936.15, 7913991089.69
-31020.73, 962285542.67, 962409629.59
74087.72, 5488990093.12, 5488693746.25
32619.36, 1064022537.40, 1063892063.97
90568.32, 8202621359.23, 8202259089.94
-85837.73, 7368115544.36, 7368458899.28
-86901.33, 7551840364.95, 7552187974.25
-96137.03, 9242328439.55, 9242712991.66
-31302.39, 979839894.99, 979965108.57
8575.23, 73534560.08, 73500263.17
93934.64, 8823715926.88, 8823340192.34
-8046.35, 64743749.63, 64775939.03
-58100.75, 3375697703.35, 3375930110.37
56020.12, 3138254253.34, 3138030176.84
44232.81, 1956541076.62, 1956364149.40
-56332.47, 3173347345.83, 3173572679.72
-66362.30, 4403955123.34, 4404220576.55
23180.70, 537344716.53, 537251997.74
30944.89, 957586362.42, 957462586.85
-81454.65, 6634859766.18, 6635185588.78
-76606.21, 5868511449.16, 5868817878.00
-95431.57, 9107183871.12, 9107565601.38
28728.01, 825298831.62, 825183923.57
-90620.91, 8212149232.53, 8212511720.17
24228.96, 587042317.90, 586945406.08
-11345.49, 128720057.48, 128765443.43
-69461.72, 4824930815.18, 4825208666.06
