x1, x2, x3, x4, x5, x6, f1, f2
2.57, 2.08, 4.04, 0.32, 4.54, 3.29, -145.80, 58.76
0.93, 2.03, 1.35, 0.36, 1.50, 7.77, -30.71, 69.48
1.40, 3.13, 3.53, 1.16, 2.51, 6.64, -64.12, 75.97
2.27, 3.70, 2.36, 0.94, 4.71, 0.10, -35.88, 47.52
1.40, 0.86, 4.28, 0.97, 2.56, 7.03, -111.49, 77.92
2.46, 2.08, 2.00, 0.98, 4.94, 9.47, -29.96, 129.53
1.90, 0.46, 1.54, 0.77, 4.81, 8.50, -20.21, 102.23
0.82, 2.03, 3.97, 0.02, 4.27, 5.93, -185.80, 73.98
3.20, 1.52, 2.46, 2.99, 3.12, 9.88, -42.80, 134.76
1.63, 3.03, 3.14, 2.99, 5.00, 3.48, -25.20, 67.65
1.93, 1.04, 3.31, 1.23, 4.63, 2.89, -55.33, 47.07
0.99, 1.16, 3.40, 3.80, 4.30, 8.48, -37.17, 118.75
3.74, 2.11, 1.34, 1.10, 2.05, 6.08, -77.50, 62.61
2.78, 0.47, 3.43, 3.42, 2.89, 5.97, -23.03, 75.29
2.08, 1.32, 4.46, 0.58, 4.55, 2.47, -153.19, 53.14
0.68, 1.79, 2.39, 0.81, 3.54, 8.14, -69.64, 88.81
3.61, 1.64, 2.82, 1.92, 1.65, 9.55, -79.30, 121.18
1.56, 2.45, 2.09, 1.71, 2.91, 6.12, -14.89, 61.62
2.40, 0.89, 2.06, 0.74, 1.49, 9.57, -17.54, 105.26
2.97, 2.49, 2.76, 0.45, 4.74, 9.99, -76.91, 145.19
2.29, 3.49, 2.22, 0.85, 2.52, 4.16, -21.48, 46.75
1.19, 0.82, 1.67, 1.49, 3.83, 6.07, -28.86, 58.59
1.77, 0.24, 2.24, 1.33, 4.68, 8.48, -28.95, 103.85
1.17, 1.28, 3.03, 0.42, 4.43, 7.72, -82.15, 91.68
2.83, 1.11, 3.96, 1.96, 2.89, 7.02, -58.16, 86.33
3.20, 2.77, 3.47, 1.69, 2.99, 9.30, -73.23, 128.27
1.09, 2.92, 2.09, 2.04, 3.34, 4.51, -31.41, 49.82
1.80, 0.60, 3.66, 2.08, 4.99, 0.66, -44.75, 46.63
1.39, 2.92, 2.39, 3.23, 4.26, 2.45, -21.87, 50.80
1.55, 1.49, 3.32, 2.87, 2.70, 6.88, -15.15, 78.55
1.43, 2.36, 1.04, 0.02, 4.00, 5.74, -17.34, 57.62
2.32, 2.10, 2.33, 1.58, 4.29, 6.81, -23.86, 82.50
2.48, 0.83, 3.85, 1.70, 1.98, 5.76, -50.76, 61.58
1.35, 1.70, 2.87, 0.88, 2.49, 9.29, -47.15, 106.23
2.61, 2.39, 2.61, 3.70, 3.92, 6.72, -18.26, 93.55
2.15, 1.45, 4.03, 2.31, 4.21, 8.93, -37.31, 125.75
3.71, 1.75, 2.95, 0.75, 4.34, 1.76, -124.66, 48.03
3.43, 1.32, 4.58, 1.38, 4.47, 8.36, -151.25, 126.22
2.37, 0.45, 4.58, 0.46, 3.11, 7.48, -170.45, 92.66
1.21, 2.66, 2.09, 0.90, 3.97, 3.79, -36.10, 43.80
2.06, 0.24, 4.38, 1.45, 2.91, 7.62, -81.32, 92.19
3.18, 1.23, 3.01, 3.23, 4.86, 9.39, -52.97, 142.98
2.01, 2.89, 3.30, 3.87, 3.16, 5.69, -5.57, 80.60
2.32, 0.27, 3.46, 0.73, 4.97, 4.00, -86.10, 58.66
2.95, 0.74, 2.99, 3.94, 2.15, 6.60, -25.41, 81.93
2.16, 1.77, 3.40, 1.84, 4.41, 2.55, -39.16, 48.68
3.36, 1.84, 1.93, 0.88, 2.32, 5.04, -56.65, 49.99
0.43, 2.08, 2.24, 2.79, 4.95, 2.82, -79.86, 49.78
4.47, 0.90, 4.62, 0.31, 3.96, 5.47, -341.30, 87.84
1.51, 2.38, 4.22, 1.78, 3.40, 6.77, -62.98, 86.23
3.50, 1.14, 2.22, 0.71, 1.92, 6.33, -73.78, 62.75
0.81, 2.52, 2.81, 0.47, 4.63, 2.81, -89.96, 44.47
2.99, 0.61, 4.16, 0.27, 3.29, 6.97, -170.62, 86.04
3.79, 1.47, 1.51, 0.91, 2.86, 4.61, -85.99, 49.02
3.09, 0.62, 2.95, 3.53, 3.45, 5.13, -38.46, 69.34
0.48, 1.88, 1.69, 2.26, 4.49, 4.69, -71.62, 53.89
1.69, 2.87, 3.01, 1.63, 4.77, 0.85, -39.97, 46.25
1.58, 0.81, 4.06, 0.69, 2.57, 7.96, -111.25, 90.17
1.44, 2.40, 2.23, 1.14, 4.14, 6.87, -30.39, 78.40
2.94, 2.49, 4.36, 0.21, 1.73, 9.33, -185.64, 123.96
3.68, 2.30, 4.11, 1.96, 4.04, 8.09, -119.66, 121.30
3.17, 2.55, 1.48, 1.55, 4.85, 2.22, -50.75, 49.58
1.26, 2.10, 2.10, 2.15, 2.03, 7.06, -19.00, 69.09
1.55, 2.76, 2.34, 0.83, 3.84, 4.51, -31.72, 51.33
1.83, 0.92, 2.23, 0.25, 2.74, 9.58, -26.35, 108.50
0.70, 2.00, 2.77, 1.83, 4.67, 8.73, -70.67, 113.62
0.87, 2.42, 4.23, 1.18, 4.55, 2.43, -127.61, 52.52
4.06, 1.09, 3.14, 0.92, 4.53, 7.42, -163.31, 104.09
4.56, 1.07, 2.46, 2.06, 4.15, 6.08, -182.28, 86.35
1.99, 2.67, 2.36, 1.98, 4.93, 6.08, -23.44, 81.85
3.88, 1.36, 3.78, 0.78, 3.04, 8.69, -173.07, 116.44
3.21, 2.20, 1.38, 0.09, 2.62, 5.51, -41.48, 54.26
3.42, 1.47, 1.37, 1.10, 1.75, 7.41, -52.11, 74.84
1.24, 2.71, 3.39, 0.34, 4.59, 7.39, -104.88, 96.21
1.70, 1.72, 1.49, 0.41, 2.79, 7.02, -8.57, 65.35
1.40, 2.23, 2.23, 1.82, 4.87, 5.20, -31.14, 65.93
1.75, 2.37, 3.04, 3.11, 4.52, 9.67, -17.46, 141.48
3.66, 2.33, 2.90, 3.40, 3.65, 5.33, -77.59, 80.51
1.98, 0.30, 3.39, 3.06, 4.35, 4.19, -19.15, 61.31
2.46, 3.12, 4.05, 0.67, 2.67, 7.48, -112.21, 95.69
3.68, 0.96, 2.46, 0.81, 2.90, 5.34, -97.20, 58.12
2.85, 0.75, 2.64, 0.10, 4.72, 8.76, -74.44, 114.76
3.86, 0.63, 4.35, 1.51, 2.59, 7.14, -160.74, 94.22
3.75, 1.94, 3.07, 1.36, 2.23, 5.27, -108.30, 61.91
1.03, 1.25, 2.95, 2.18, 3.75, 8.22, -44.37, 97.62
2.72, 0.79, 2.60, 1.46, 2.90, 4.68, -34.69, 47.17
4.16, 0.89, 3.26, 2.52, 3.69, 5.67, -136.36, 80.79
2.37, 2.83, 2.77, 1.91, 2.07, 9.38, -18.90, 117.23
1.35, 2.14, 2.34, 1.67, 4.56, 0.98, -33.02, 36.44
2.12, 2.94, 2.58, 3.05, 4.81, 2.25, -18.04, 57.35
2.04, 3.82, 3.58, 1.43, 4.33, 5.94, -58.65, 87.68
2.97, 1.86, 2.52, 2.35, 1.96, 9.01, -30.83, 109.22
1.52, 1.29, 4.33, 1.19, 2.09, 9.67, -94.73, 121.97
1.35, 2.65, 2.65, 1.96, 4.05, 3.10, -31.79, 45.70
1.65, 3.25, 3.38, 0.89, 4.27, 6.49, -70.27, 85.76
3.24, 1.95, 3.01, 0.98, 4.52, 8.51, -88.14, 117.19
2.91, 3.00, 1.51, 0.32, 2.43, 9.41, -27.19, 114.36
3.70, 0.63, 2.98, 0.29, 3.66, 4.59, -134.50, 57.46
3.71, 2.12, 1.82, 1.80, 4.07, 8.56, -85.87, 114.68
0.41, 2.18, 2.70, 2.79, 4.81, 9.27, -82.04, 129.03
4.10, 1.45, 3.95, 1.57, 2.63, 7.02, -164.74, 93.22
1.75, 2.15, 2.76, 3.56, 4.59, 3.18, -15.01, 59.15
4.57, 1.30, 2.31, 1.46, 4.40, 9.90, -188.10, 147.42
3.77, 1.38, 1.97, 0.95, 2.20, 7.49, -88.50, 81.86
2.47, 2.66, 4.16, 0.16, 3.50, 4.13, -159.72, 59.86
3.78, 1.36, 3.89, 2.59, 3.13, 8.65, -100.27, 122.53
1.98, 1.08, 1.47, 0.26, 2.10, 5.53, -5.11, 42.29
1.93, 1.43, 4.66, 0.07, 1.64, 9.14, -207.78, 113.78
2.43, 2.23, 2.32, 1.43, 2.33, 4.80, -17.94, 46.81
3.11, 2.47, 2.60, 2.68, 3.53, 5.98, -41.80, 77.89
2.87, 2.43, 3.68, 1.50, 4.61, 0.56, -77.21, 51.51
2.35, 2.25, 2.64, 0.34, 2.49, 6.16, -41.60, 61.83
1.89, 0.63, 1.85, 0.80, 4.76, 8.97, -23.66, 111.08
1.27, 1.48, 2.04, 2.68, 4.59, 5.62, -28.49, 67.80
2.60, 1.89, 2.90, 3.58, 4.78, 9.82, -24.04, 150.87
2.79, 1.10, 3.36, 3.83, 4.48, 5.05, -28.67, 80.50
1.96, 1.97, 4.38, 0.16, 2.72, 7.72, -171.83, 93.90
2.19, 3.04, 3.08, 3.50, 4.33, 4.87, -14.19, 78.22
3.19, 1.82, 1.66, 2.14, 1.88, 6.21, -37.93, 62.99
0.80, 1.57, 2.44, 1.48, 2.21, 5.08, -50.95, 41.92
1.79, 2.20, 2.43, 3.11, 4.33, 5.79, -13.83, 75.89
1.93, 3.23, 4.19, 1.16, 2.27, 7.56, -85.35, 95.35
2.58, 2.71, 4.16, 1.89, 3.64, 4.87, -60.44, 71.83
2.21, 1.64, 2.79, 2.31, 3.36, 4.78, -15.94, 54.84
2.09, 2.09, 2.96, 2.79, 3.63, 8.95, -12.74, 118.50
4.03, 1.38, 1.81, 1.24, 2.54, 6.48, -111.02, 71.39
0.63, 1.92, 4.38, 1.85, 1.34, 9.01, -100.33, 109.57
3.28, 0.69, 2.53, 1.19, 2.51, 8.11, -63.51, 91.22
2.53, 1.33, 2.70, 1.21, 4.41, 2.80, -41.55, 44.23
1.40, 2.22, 2.42, 3.11, 2.32, 4.70, -12.25, 49.85
2.72, 1.40, 3.84, 1.28, 4.05, 2.99, -82.35, 51.15
3.85, 1.19, 2.88, 3.47, 3.46, 5.81, -92.98, 82.19
1.46, 2.52, 2.18, 2.00, 2.83, 5.38, -16.54, 54.18
3.45, 2.40, 1.91, 0.27, 2.99, 9.66, -68.15, 123.67
2.22, 1.50, 3.08, 0.73, 4.67, 3.95, -61.11, 54.58
1.96, 0.87, 2.63, 0.50, 4.97, 5.27, -49.70, 64.25
2.81, 2.48, 2.24, 0.67, 2.94, 5.67, -37.66, 60.31
2.49, 1.39, 2.63, 3.05, 2.38, 6.82, -10.63, 76.43
3.34, 1.03, 3.34, 2.36, 3.84, 9.73, -68.55, 138.43
1.13, 3.00, 3.94, 0.27, 1.77, 9.93, -140.12, 127.69
2.68, 2.76, 3.67, 2.21, 4.47, 7.10, -47.01, 103.59
1.84, 2.05, 1.95, 1.97, 1.71, 9.30, -4.90, 104.68
3.27, 1.89, 2.26, 0.91, 4.59, 0.82, -68.34, 41.93
1.47, 3.12, 1.80, 0.57, 3.75, 7.52, -23.22, 86.04
2.69, 1.17, 3.61, 2.49, 4.02, 8.11, -37.40, 109.72
2.01, 2.45, 3.82, 0.87, 1.86, 8.96, -79.19, 109.20
2.97, 2.51, 4.80, 0.18, 2.26, 5.15, -236.67, 69.86
3.60, 2.15, 3.82, 0.83, 3.48, 7.82, -150.07, 106.07
3.80, 1.09, 3.71, 2.65, 3.73, 4.45, -102.43, 70.12
2.18, 2.58, 3.53, 2.05, 1.88, 9.67, -26.26, 125.06
2.29, 1.77, 3.17, 2.49, 2.63, 7.82, -15.39, 92.64
2.16, 0.69, 2.94, 2.94, 1.29, 9.60, -6.67, 116.31
2.10, 3.85, 1.40, 0.74, 4.12, 4.33, -15.08, 57.47
2.55, 1.38, 4.31, 0.73, 2.72, 4.77, -127.99, 57.67
2.88, 2.44, 2.45, 2.88, 4.29, 4.75, -33.16, 69.54
3.04, 0.77, 2.18, 1.71, 3.14, 7.51, -40.28, 83.72
2.48, 1.45, 2.53, 3.26, 2.24, 6.59, -8.90, 73.69
0.43, 1.66, 2.89, 2.43, 4.70, 7.11, -84.53, 89.81
1.12, 1.51, 4.19, 0.65, 1.60, 8.83, -134.48, 101.98
0.57, 1.72, 2.68, 1.93, 2.91, 4.50, -67.15, 42.93
1.77, 1.47, 1.72, 1.93, 1.84, 9.38, -4.54, 103.38
2.54, 1.88, 1.91, 0.47, 4.55, 5.97, -30.33, 70.17
0.97, 2.30, 2.74, 0.93, 4.60, 7.64, -67.95, 94.08
0.80, 1.22, 3.03, 1.39, 4.54, 1.59, -76.95, 36.40
3.39, 2.59, 2.11, 2.60, 1.28, 9.11, -51.03, 114.16
1.82, 1.47, 4.12, 0.36, 4.18, 9.83, -140.56, 136.72
0.93, 2.82, 4.17, 1.18, 4.94, 1.79, -124.57, 55.25
2.21, 0.63, 3.13, 3.43, 3.23, 8.30, -9.39, 106.12
1.72, 0.41, 2.91, 1.56, 1.89, 7.12, -27.02, 68.22
2.67, 2.07, 2.17, 0.85, 2.41, 8.65, -26.84, 97.50
1.34, 1.75, 3.35, 2.02, 4.31, 3.63, -43.46, 51.90
3.25, 1.18, 1.97, 0.19, 3.34, 6.48, -58.78, 68.98
1.18, 2.81, 3.07, 0.04, 1.87, 9.33, -85.10, 109.25
3.00, 0.40, 3.62, 1.40, 2.87, 4.81, -77.23, 55.54
2.89, 0.47, 3.92, 1.18, 2.47, 4.57, -92.56, 52.37
1.07, 2.26, 3.31, 0.50, 3.63, 5.02, -93.79, 55.88
4.21, 0.89, 3.44, 1.83, 1.98, 9.24, -151.85, 123.09
4.12, 1.51, 2.14, 1.40, 3.88, 3.47, -129.54, 52.91
2.57, 1.89, 3.15, 2.09, 2.41, 9.30, -27.03, 116.82
2.57, 3.17, 1.35, 0.81, 1.76, 7.69, -11.26, 81.25
2.17, 1.90, 3.72, 3.11, 3.07, 8.30, -10.92, 110.10
2.69, 0.66, 1.84, 0.17, 2.05, 5.01, -25.04, 40.39
1.83, 2.24, 3.12, 2.67, 3.58, 5.57, -15.41, 69.07
3.19, 1.90, 1.85, 2.26, 3.35, 7.52, -43.08, 90.10
3.36, 1.60, 2.54, 3.28, 4.95, 3.56, -63.48, 68.22
4.24, 1.35, 3.15, 1.69, 1.74, 7.99, -150.69, 99.39
2.62, 0.63, 2.33, 2.46, 2.20, 8.49, -17.24, 95.77
2.47, 0.90, 4.46, 1.47, 2.72, 4.93, -86.33, 60.65
3.33, 0.89, 2.88, 1.42, 3.25, 8.61, -73.87, 106.93
2.23, 1.65, 2.55, 1.50, 2.71, 4.60, -19.36, 45.01
1.82, 3.25, 3.26, 1.20, 1.46, 9.52, -42.50, 118.66
3.52, 1.78, 1.85, 1.36, 3.25, 7.77, -68.01, 91.77
1.27, 0.92, 3.05, 0.84, 2.46, 8.90, -58.55, 97.79
1.67, 2.01, 3.16, 3.39, 1.45, 9.78, -4.66, 126.04
3.00, 1.22, 3.08, 0.80, 3.06, 7.95, -74.03, 93.20
2.52, 3.17, 3.44, 2.54, 1.41, 9.25, -21.12, 122.25
2.54, 3.44, 2.78, 0.56, 2.13, 5.48, -48.13, 60.79
2.60, 2.27, 1.86, 0.27, 1.90, 5.64, -20.29, 50.88
2.67, 0.33, 2.65, 2.39, 4.04, 3.46, -30.20, 48.26
2.28, 1.99, 3.61, 3.09, 3.38, 7.71, -13.30, 102.67
4.58, 1.32, 4.77, 0.16, 3.83, 7.42, -385.26, 115.33
2.18, 2.19, 3.59, 0.34, 4.02, 8.52, -100.19, 111.31
1.40, 1.16, 3.80, 0.33, 1.86, 9.94, -115.89, 120.08
3.79, 1.44, 4.36, 1.10, 4.80, 0.54, -189.28, 59.91
1.08, 2.13, 4.05, 1.05, 4.80, 0.60, -116.84, 46.58
3.60, 1.36, 3.10, 3.94, 3.36, 7.61, -70.19, 109.17
2.23, 0.96, 4.48, 1.53, 4.36, 6.14, -87.23, 84.96
2.11, 0.16, 4.42, 1.53, 2.28, 9.61, -76.58, 123.89
3.75, 2.01, 2.65, 1.23, 1.52, 7.97, -97.95, 92.48
1.06, 0.99, 4.34, 0.60, 4.08, 7.88, -161.35, 100.08
0.59, 2.45, 2.89, 0.25, 1.55, 9.20, -100.73, 101.76
1.63, 3.04, 2.02, 2.17, 3.40, 8.15, -13.73, 98.64
4.00, 1.92, 2.39, 2.24, 1.84, 6.59, -107.01, 77.32
2.96, 1.27, 1.58, 1.21, 4.68, 2.83, -39.67, 44.21
1.45, 3.39, 2.37, 1.60, 4.74, 0.75, -34.26, 44.84
1.27, 1.08, 2.45, 0.33, 3.39, 5.36, -48.10, 49.06
3.55, 1.48, 1.56, 1.83, 2.71, 9.05, -65.02, 109.88
2.48, 2.85, 2.51, 2.73, 2.03, 6.86, -11.12, 79.22
1.78, 3.07, 1.98, 2.52, 3.33, 4.12, -9.92, 51.00
2.40, 2.38, 1.46, 1.56, 3.38, 5.28, -11.11, 55.25
3.59, 2.16, 2.34, 0.44, 3.83, 6.19, -94.19, 76.19
2.39, 2.51, 2.42, 2.50, 2.91, 4.39, -12.33, 51.85
2.23, 3.64, 2.78, 0.41, 3.54, 8.92, -51.45, 118.22
3.06, 2.42, 2.45, 2.68, 3.89, 3.47, -40.53, 55.61
2.48, 2.00, 1.30, 0.85, 3.76, 6.45, -14.33, 68.25
1.50, 3.32, 4.40, 1.01, 4.14, 5.51, -121.35, 81.31
4.31, 1.45, 3.61, 3.14, 2.53, 5.66, -140.90, 81.97
4.21, 1.45, 1.37, 0.53, 2.59, 5.74, -126.38, 61.67
2.41, 1.19, 3.71, 0.90, 4.73, 7.15, -89.25, 95.28
3.48, 1.29, 2.36, 2.46, 3.06, 6.16, -63.85, 72.75
2.54, 0.75, 1.72, 0.66, 3.56, 7.68, -20.99, 82.02
2.24, 3.66, 4.13, 0.64, 3.16, 7.74, -119.52, 105.77
4.40, 1.06, 1.77, 0.41, 4.86, 8.05, -167.74, 112.12
2.80, 2.83, 2.46, 0.70, 3.03, 5.09, -43.84, 57.45
0.87, 2.20, 1.66, 0.24, 4.01, 9.23, -47.13, 109.65
3.40, 0.77, 4.16, 2.45, 4.48, 8.74, -86.53, 131.83
1.83, 3.08, 3.14, 0.28, 4.70, 9.60, -78.78, 137.00
3.15, 0.97, 3.42, 3.64, 4.29, 3.60, -45.54, 67.20
1.47, 1.51, 3.28, 3.11, 4.39, 3.68, -22.82, 57.67
2.95, 2.72, 4.10, 1.91, 2.42, 7.17, -66.84, 93.80
4.60, 0.90, 3.08, 0.34, 1.24, 9.62, -227.96, 125.65
0.30, 1.76, 3.59, 1.49, 4.77, 9.39, -128.91, 129.23
1.58, 3.19, 4.13, 0.39, 4.75, 0.48, -147.67, 52.69
2.41, 1.34, 3.99, 2.70, 3.38, 7.26, -25.35, 95.00
0.99, 1.51, 3.07, 1.19, 3.43, 6.13, -65.36, 63.45
3.69, 2.03, 1.54, 1.27, 4.65, 3.41, -86.98, 55.03
1.28, 0.81, 2.43, 1.68, 2.69, 6.49, -28.30, 60.39
4.72, 1.24, 2.61, 2.29, 3.87, 6.40, -201.01, 91.71
1.26, 2.15, 2.98, 2.94, 2.75, 5.12, -21.34, 57.50
3.81, 0.84, 3.39, 3.00, 4.91, 3.52, -103.90, 72.13
2.21, 3.32, 2.24, 2.31, 2.18, 7.93, -8.63, 93.86
1.71, 3.47, 4.92, 0.06, 4.48, 7.28, -255.28, 112.17
2.88, 1.58, 1.69, 2.05, 3.24, 6.73, -26.38, 73.68
2.85, 2.49, 4.42, 1.19, 2.15, 7.91, -111.82, 102.44
4.67, 1.30, 2.54, 0.28, 2.30, 6.97, -213.18, 83.85
2.60, 0.97, 1.41, 1.44, 4.49, 3.74, -23.40, 45.92
2.97, 0.83, 2.48, 0.89, 1.73, 7.62, -46.63, 77.45
3.09, 0.45, 1.90, 1.73, 2.50, 6.56, -38.59, 65.57
1.56, 2.63, 3.14, 3.29, 1.69, 7.98, -7.96, 96.59
2.76, 0.96, 3.11, 0.54, 4.73, 8.15, -82.85, 107.36
3.24, 2.25, 2.61, 3.80, 3.52, 4.28, -44.72, 67.52
1.88, 1.96, 2.63, 0.71, 3.56, 4.96, -35.68, 52.06
4.50, 1.28, 3.02, 2.75, 4.47, 4.39, -175.51, 77.88
3.18, 1.24, 3.59, 1.16, 4.85, 5.71, -104.25, 81.98
1.03, 2.59, 3.42, 0.33, 2.00, 9.01, -103.76, 104.83
2.82, 2.77, 2.33, 0.13, 2.73, 5.28, -47.07, 56.41
2.43, 0.64, 3.27, 1.47, 2.66, 8.51, -42.13, 98.69
1.50, 1.19, 3.06, 0.74, 3.97, 7.32, -60.78, 82.96
1.19, 1.93, 2.58, 0.53, 4.85, 9.77, -61.29, 131.12
1.42, 1.75, 2.54, 2.61, 4.77, 9.49, -27.31, 131.15
3.17, 1.34, 2.14, 2.49, 3.27, 5.50, -42.75, 63.52
3.27, 0.72, 3.14, 1.41, 3.60, 9.75, -79.63, 131.12
1.07, 2.79, 4.37, 0.20, 3.75, 7.27, -193.65, 94.97
3.93, 1.65, 4.04, 2.41, 4.98, 0.45, -132.92, 65.36
3.05, 2.79, 3.03, 1.71, 1.61, 7.77, -50.18, 92.14
0.74, 2.64, 4.28, 1.94, 4.43, 8.56, -97.49, 122.48
1.82, 2.24, 3.43, 0.13, 2.37, 4.70, -90.70, 47.71
2.88, 2.73, 3.82, 0.57, 3.63, 9.54, -120.58, 134.82
3.16, 0.78, 2.52, 2.07, 4.55, 5.23, -56.26, 69.31
3.10, 0.95, 2.20, 2.20, 4.40, 1.79, -47.77, 42.79
1.71, 1.66, 2.43, 2.60, 3.83, 7.62, -14.23, 91.10
4.46, 1.09, 4.71, 0.93, 3.04, 4.35, -286.75, 72.32
0.30, 2.23, 1.79, 0.02, 4.39, 1.49, -93.28, 29.73
3.27, 1.81, 4.77, 0.18, 1.59, 8.30, -247.62, 108.12
1.50, 0.73, 4.56, 0.58, 3.30, 7.07, -161.51, 84.78
0.61, 2.28, 4.07, 1.10, 4.50, 5.50, -139.48, 73.83
2.70, 0.71, 2.62, 1.44, 1.92, 6.90, -32.17, 68.08
2.77, 1.76, 2.81, 1.55, 3.22, 4.68, -39.52, 53.33
0.67, 2.42, 2.32, 2.41, 2.81, 5.21, -51.89, 52.50
3.73, 0.73, 2.98, 2.62, 4.14, 6.20, -94.08, 85.80
2.16, 1.01, 1.80, 0.83, 4.82, 9.81, -22.64, 129.03
2.02, 1.25, 4.09, 0.11, 3.60, 4.06, -151.12, 51.78
2.43, 2.21, 4.49, 0.33, 3.27, 9.81, -173.21, 137.89
1.90, 1.16, 3.41, 0.39, 2.52, 4.32, -79.06, 41.71
3.29, 0.58, 2.84, 0.58, 2.85, 5.34, -86.38, 56.22
1.78, 1.09, 1.91, 1.74, 4.29, 4.59, -17.12, 50.54
2.92, 0.67, 3.45, 1.45, 3.37, 8.51, -67.53, 106.78
