f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,=digit_value
625.6,-711.89,213.02,241.89,1125.6,-24.894,-53.021,-284.62,206.47,310.09,9_value
653.84,-66.171,-144.14,1329.4,1111.9,-90.828,285.35,124.3,-66.229,5.9829,9_value
702.64,472.22,-495.19,940.29,1674.1,75.48,779.89,-272.75,655.84,513.36,8_value
545.9,-765.49,106.38,463.88,1389,-50.75,403.55,-354.66,351.07,653.41,9_value
1324,519.67,369.49,424.2,1523.3,-38.302,306.48,-139.94,446.08,-637.49,8_value
460.41,-778.36,-223.45,742.06,1195.9,176.31,537.13,-181.45,209.85,266.24,9_value
288.34,-447.77,-270.05,412.6,988.91,-85.192,539.96,-434.96,55.467,86.083,9_value
269.57,413.26,-311.91,644.27,1068.5,-40.707,745.22,-93.481,254.16,209.44,8_value
664.9,-697.37,164.62,401.49,1767.9,418.37,325.2,-334.33,723.46,516.9,9_value
670.88,-795.83,-409.06,932.75,1206.3,-137.86,478.07,-210.5,291.62,-314.46,9_value
935.27,423.93,647.9,86.33,1064.5,-285.57,533.14,-278.63,526.51,-561.58,8_value
290.18,-502.85,-619.17,1034.7,1175.4,-47.847,541.92,-177.86,293.68,-253.08,9_value
586.1,394.04,-978.03,1027.4,1170.6,-461.47,295.22,-461.85,301.91,-28.257,8_value
1098.4,570.38,598.84,575.95,1027.1,-242.96,245.56,264.74,612.63,-35.793,8_value
354.31,-523.53,-734.1,933.45,1164.3,-169.94,459.12,-121.11,315,-469.56,9_value
596.7,302.2,-1262,982.56,906.5,-430.28,471.79,-152.14,566.35,-100.06,8_value
126.26,31.008,-326.96,25.851,455.42,-278.91,78.473,43.954,299.79,-39.377,8_value
477.34,-512.9,-517.34,1118.9,1089.4,-77.149,497.7,-91.489,96.894,-530.1,9_value
308.1,-370.99,-627.18,998.71,1059.1,-170.51,542.68,-302.83,329.55,-517.62,9_value
779.7,-298.85,718.44,433.4,947.63,163.6,686.19,-0.91638,1116.1,408.4,9_value
459.48,-478.29,596.84,389.04,1272.5,-103.24,327.5,-70.812,597.19,559.26,9_value
439.12,-431.46,291.28,-121.04,882.62,-328.47,177.33,384.77,284.42,246.75,9_value
538.76,195.63,-1040,773.85,1003.5,-413.58,360.02,-16.203,440.37,56.413,8_value
320.03,-429.85,-205.4,1014.6,973.82,52.323,692.78,-159.77,19.791,-186.05,9_value
678.74,209.78,-745.99,1113.9,1369.3,-278.01,393.86,-424.24,76.337,463.47,8_value
365.61,387.09,-273.56,574.48,1029.1,51.795,279.33,-376.3,177.31,84.886,8_value
584,-764.14,-178.65,228.7,989.13,86.418,236.98,-267.04,587.89,382.56,9_value
833.18,-115.23,-1019.5,985.13,1136.2,-468.62,364.34,-629.74,360.2,-78.051,8_value
441.86,-246.96,-812.6,1093.7,988.54,-327.92,529.51,-96.526,399.26,-585.72,9_value
286.36,-506.81,-347.51,718.5,1246,144.04,426.63,-48.058,265.34,207.3,9_value
857.07,82.962,-980.73,707.11,985.15,-71.224,168.68,-611.21,363.46,58.613,8_value
353.16,-220.9,-689.54,640.03,938.11,-354.09,248.76,-96.457,583.81,-317.31,9_value
595.02,510.36,-637.2,739.02,1257.4,-24.561,531.73,-385.24,4.2405,240.98,8_value
237.2,47.753,-653.39,538.7,783.2,-286.48,207.53,-22.657,586.27,-133.33,9_value
249.42,554.44,-868.33,576.36,954.19,-141.95,255.23,-119.85,449.89,105.09,8_value
807.92,299.29,-670.61,657.13,1147.6,254.58,505.69,-331.55,-123.58,364.96,8_value
929.17,-769.14,386.84,584.39,1628.6,29.089,127.15,-149.27,336.65,435.86,9_value
450.83,-506.05,-760.2,814.2,1015.5,-168.66,444.26,14.457,738.92,-575.2,9_value
1149.5,-55.08,-19.57,276.15,1439,200.18,956.79,-239.59,1367.7,526.46,8_value
280.55,-127.17,-848.87,664.64,1278.6,-465.69,108.44,9.0277,823.88,-300.44,9_value
567.59,83.696,381.17,715.81,1195.2,-308.46,461.18,-344.85,996.05,328.53,8_value
1002.3,139.71,-429.31,943.88,1723.2,-395.48,587.96,-368.28,107.57,8.7451,8_value
472.03,417.25,-831.69,854.72,1365.8,-239.64,509.96,-199.37,164.97,280.55,8_value
801.03,-782.71,205.53,443.21,1376,213.71,87.066,-130.26,393.02,381.77,9_value
687.12,565.91,-1074.9,854.15,1081.6,-293.75,244.24,87.816,371.04,247.14,8_value
444.99,-489.07,276.47,682.69,1191.3,64.665,260.04,-215.97,235.31,374.95,9_value
588.17,347.07,-721.34,1077,1260.8,-209.88,335.57,-374.93,293.53,415.36,8_value
400.61,564.82,-789.64,585.45,1018.6,-309.37,166.47,-372.44,229.32,-16.948,8_value
588.73,-681.08,123.83,693.74,1129.2,136.58,110,28.208,457.27,356.72,9_value
177.4,79.303,-637.13,724.39,956.91,-388.99,316.41,15.813,539.61,-209.63,9_value
394.3,-275.47,-974.02,781.86,1003.6,-157.12,411.04,140.75,612.33,-404.84,9_value
782.91,404.74,337.15,443.98,1376.4,-85.851,430.03,-64.78,433.56,-248.33,8_value
118.58,-178.49,-556.18,714.96,959.54,-299.44,413.43,159.35,655.05,-374.45,9_value
-28.013,-204.26,-134.97,786.92,829.41,274.67,525.43,-322.4,592.38,27.719,9_value
368.58,-87.553,-790.41,484.89,747.52,-268.14,100.93,-236.67,448.41,-183.01,9_value
900.85,816.9,331.46,324.72,982.93,314.19,619.15,2.5173,447.06,-130.93,8_value
647.15,54.579,-641.36,672.85,1112.9,-241.43,431.81,-795.25,119.19,-155.46,8_value
359.66,-434.84,-632.28,748.64,915.14,92.89,409.56,116.81,548.13,-438.24,9_value
1177.5,-858.3,-794.67,485.03,525.79,-98.732,491.61,28.562,940.56,125.68,9_value
586.37,-329.19,-475.97,243.45,977.18,139.7,364.77,-368.09,535.08,255.27,8_value
535.2,322.97,416.43,296.71,926.91,-120.95,189.88,-154.63,581.73,105.81,8_value
347.33,-55.05,-921.04,474.35,930.16,-255.32,27.079,-95.523,620.71,-68.688,9_value
-9.132,249.31,-529.78,695.03,1218.8,-277.94,367.81,-30.231,1038.2,-103.76,9_value
426.65,713.13,-892.85,992.48,1069.3,-481.02,297.63,-307.61,623.01,118.57,8_value
721.09,-827.91,-406.74,962.67,1326.1,249.28,393.92,-81.375,473.64,185.49,9_value
254.28,153.17,267.32,629.86,957.89,-39.9,757.76,-254.75,558.44,265.48,8_value
1208.6,-365.32,-254.51,59.722,516.06,-488.97,416,-44.557,953.28,218.87,9_value
363.23,600.04,-969.4,803.05,936.74,-598.22,229.88,-196.16,743.73,30.813,8_value
458.59,-608.4,-438.74,1132.1,1211.5,-10.041,585.48,-245.08,436.88,-377.14,9_value
257.94,292.44,240.13,444.4,1129.9,50.832,538.49,-395.31,583.52,420.41,8_value
140.85,37.886,61.941,726.93,816.6,182,1013,-182.84,210.35,540.95,8_value
494.1,741.28,-1035.5,906.54,1048.2,-498.23,177.67,-216.39,886.19,112.92,8_value
499.06,306.26,465.32,352.89,1045.4,-47.05,355.91,-171.21,647.27,140.36,8_value
657.98,-789.12,-488.82,1081.2,1127.7,135.32,357.48,-228.92,261.2,-85.384,9_value
772.29,11.502,281.67,591.61,1675.2,-602.89,592.28,-343.79,627.72,234.64,8_value
299.65,316.56,331.14,323.67,763.72,-40.809,331.85,145.82,571.64,78.668,8_value
690.86,329.33,112.33,870.07,1024.8,466.43,526.11,-164.77,321.9,522.74,8_value
773.16,-785.22,-583.3,836.44,1100.8,399.15,421.57,-54.519,243.86,48.736,9_value
12.897,-359.44,47.124,438.53,938.63,-61.338,504.55,-224.29,526.74,299.25,9_value
764.22,-726.86,-858.14,999.9,1178.1,-115.23,485.4,-434.31,504.08,-417.67,9_value
1750.1,-333.01,-307.13,1063.4,2040.3,-445.81,1085.5,-370.67,1159.9,156.8,8_value
948.86,-118.05,118.91,713.79,1541.7,-219.75,261.37,-630.53,604.07,352.39,8_value
684.55,282.03,-736.9,961.88,1307.8,-360.31,663.57,-615.25,-7.7338,8.7161,8_value
1233.8,-1125.1,-355.34,1006.1,1322,14.881,444.47,-286.04,464.55,438.73,9_value
874.96,-690.24,458.14,214.29,983.43,-251.6,301.26,198.43,1097.4,107.94,9_value
927.34,438.37,66.49,1028.6,1763.1,-544.45,426.38,-420.62,247.77,582.49,8_value
897.27,293.17,-920.86,1252.6,1306.8,-434.91,577.38,-582.64,661.06,-129.74,8_value
1127.8,-970.41,-639.71,832.09,1556.3,-796.48,643.02,-543.24,632,-40.965,9_value
850.04,180.21,-721.04,1167.1,1415.3,-167.52,524.26,-480.76,58.06,365,8_value
663.98,-513.34,-308.68,312.66,654.77,24.706,346.34,-317.03,-69.503,417.98,9_value
431.42,287.95,-283.02,611.25,1216,-101.58,623.97,343.1,187.36,208.47,8_value
678.32,-223.09,-606.08,394.73,1324.9,87.953,369.75,215.3,184.54,245.72,9_value
658.23,446.33,-914.08,1275,1381.5,-353.28,482.48,-545.43,369.16,209.08,8_value
739.03,431.25,431.24,-119.27,1117.2,-193.67,347.99,66.094,651.23,-60.501,8_value
963.36,-870.44,-368.43,1102.4,1035.5,202.32,484.65,-109.07,285.24,-57.675,9_value
418.18,131.61,-281.47,532.73,931.59,-100.07,392.28,-243.57,-144.47,110.08,8_value
686.48,-729.65,-248.29,754.95,1644.8,-84.487,268.28,-278.11,206.09,520.96,9_value
701.56,-962.89,-12.473,761.43,1690.3,89.215,491.3,-372.5,332.37,409.21,9_value
482.53,-822.87,24.063,597.2,1116.3,218.88,106.8,-2.1981,638.39,158.57,9_value
418.97,545.49,-845.45,1256.6,1357.6,-509.91,563.4,21.115,662.31,472.94,8_value
21.835,-16.818,-296.43,764.02,651.8,104.33,664.09,-323.59,333.94,-197.06,9_value
756.62,178.13,-802.55,1173,1262,-240.74,305.25,-627.68,96.282,78.299,8_value
1181,-625.98,11.303,-250.96,711.79,-715.29,819.38,-155.52,755.42,522.1,9_value
289.9,-402.8,-801.37,856.2,1046.8,-13.743,409.84,-303.83,572.37,-372.26,9_value
999.73,279.81,-749.94,1355.2,1434.8,-386.01,392.01,-526.23,4.6472,310.52,8_value
296.73,171.7,-322.38,445.63,912.58,-405.89,276.52,-297.37,-17.723,-158.28,8_value
-33.92,77.015,-193.4,593.21,477.32,-53.315,710.37,-217.12,367.9,-84.44,9_value
762.28,308.93,-1033.2,1295.7,1079.8,-305.95,342.12,-304.42,479.1,27.1,8_value
210.39,230.66,389.87,336.95,917.82,-78.094,637.12,-204.48,304.17,234.45,8_value
746.06,594.58,-1112.6,1288.7,1552.9,-610.39,380.89,-491.47,721.67,-68.093,8_value
987.85,-982.3,-661.25,958.08,1047.7,-647.21,638.18,-318.53,508.44,26.41,9_value
49.82,-105.71,-52.204,600.05,742.74,151.1,347.71,-344.31,329.08,53.196,9_value
1852,-22.831,-250.61,449.62,323.01,-18.9,161.07,-67.803,-46.391,328.93,9_value
866.39,239.39,-1343.3,829.06,1176.1,-603.74,143.37,-336.56,901.39,-82.577,8_value
817.13,269.95,-1093.3,1102.3,1363.8,-432.01,384.2,-686.11,185.02,-77.041,8_value
892.29,187.05,-867.09,1267,1601,-554.77,322.05,-822.07,127,-4.091,8_value
968.34,-742.56,-611.53,643.3,749.15,-462.72,522.85,-394.63,46.243,313.52,9_value
1318.8,-902.77,-469.57,890.83,1106.5,164.55,579.33,-316.61,176.85,-154.63,9_value
676.39,-567.84,325.24,196.98,982.43,71.554,-21.425,-73.569,792.79,303.62,9_value
313.2,295.08,-681.34,109.59,809.61,-571.07,45.198,122.4,741.04,125.69,8_value
930.61,-819.64,8.2237,95.51,1241.2,-159.72,312,-67.643,354.53,303.96,9_value
349.26,506.16,-923.61,1049.4,1047.1,-639.16,258.63,-185.72,602.67,158.91,8_value
1225.2,-344.07,-176.04,1131,1700.4,-612.81,690.28,-363.24,488.86,388.07,8_value
789.41,87.331,574.96,390.8,1325.4,122.4,839.36,-18.519,841.54,238.04,9_value
705.55,53.7,-163.38,861.75,1388.6,-109.09,279.16,-676.08,204.37,335.35,8_value
145.79,-298.41,-66.282,934.2,1242.9,131.61,575.1,-328.76,367.96,185.35,9_value
959.28,-754.34,-853.22,1038,996.51,-91.314,214.5,-123.7,636.25,-227.43,9_value
314.46,239.49,-912.94,280.76,781,-610.95,287.84,-15.358,587.86,155.09,8_value
470.25,195.82,-940.55,485.73,938.73,-532.47,111.43,-76.584,698.02,-29.672,8_value
629.82,-31.53,208.76,756.27,1305,-1.7288,498.61,-77.278,430.1,234.92,8_value
337.96,555,-603.68,433.79,1020.9,-352.95,137.18,-298.84,75.199,-34.44,8_value
628.52,24.595,-216.9,1063.8,1485,-93.587,313.54,-359.48,506.25,224.28,8_value
-92.869,-120.13,-445.5,614.07,859.95,-102.44,394.97,-326.26,628.73,-281.7,9_value
421.39,-341.37,-929,655.24,1041.6,-292.48,360.32,82.74,708.39,-310.54,9_value
998,-725.53,413.62,58.914,1092.3,-210.55,237.28,66.291,463.84,453.47,9_value
1102.5,597.2,-165,855.89,1309.7,41.143,21.425,279.64,146.91,9.76,8_value
331.4,-591.24,-14.905,553.36,1006.9,-118.82,231.13,-416.55,418.63,388.56,9_value
290.08,621,-377.77,542.61,1055.6,-53.407,186.32,-54.233,284.53,357.57,8_value
276.05,-495.64,-479.07,788.73,1233.4,-467.35,523.36,-551.48,386.93,-345.6,9_value
371.43,82.421,-152.66,574.5,1172.2,-110.66,316.3,-568.16,0.36426,64.769,8_value
323.3,407.16,475.62,251.83,985.27,-122.89,603.74,81.801,739.92,-28.926,8_value
180.84,-60.867,-752.66,570.55,1097.7,-325.65,220.79,-104.82,732.35,-356.2,9_value
1173.9,461.81,-224.61,748.19,1484.3,-354.6,71.802,76.478,-107.33,113.63,8_value
1260.2,-654.57,-633.18,412.58,715.23,-425.71,390,-166.4,-16.677,630.77,9_value
539.72,629.94,306.34,376.89,1053.3,64.278,495.4,-393.51,356.54,127.13,8_value
620.96,271.04,-422.84,769.71,1283.7,-210.54,67.994,-413.98,-18.242,568,8_value
733,-854.68,-384.88,891.13,1453.5,-595.23,632.45,-384.78,480.09,-245.31,9_value
961.26,255.53,1.2899,902.08,1494.1,-354.37,-49.112,-472.13,135.77,269.02,8_value
728.94,-774.24,328.93,790.6,1254.3,-6.8276,535.07,-56.558,162.74,334.25,9_value
908.67,-1005.6,321.93,163.53,1682.3,-609.36,401.59,-68.814,566.29,639.78,9_value
201.66,145.6,241.56,-65.345,563.31,14.252,379.27,-121.47,261.29,-216.79,8_value
565.3,-768.62,-116.81,1196.2,1096.5,428.34,615.27,269.34,790.79,-127.83,9_value
73.455,-304.28,-150.01,820.38,520.69,173.83,902.59,-139.56,495.12,-69.44,9_value
1296,394.31,364.47,661.44,1299.6,-377.46,-28.538,-169.53,407.08,-357.6,8_value
693.74,-708.4,-173.85,533.9,830.95,-267.25,302.26,-628.05,415.37,269.28,9_value
953.49,-867.63,-377.62,568.39,1025.1,-419,356.87,-291.51,70.063,70.322,9_value
526.79,-854.83,-597.28,848.24,1124.2,-110.24,445.25,-151.07,364,-328.96,9_value
558.3,-604.71,-620.36,827.53,1245.2,-238.11,326.31,-283.61,181.57,-456.02,9_value
446.59,-541.73,-385.87,930.37,1156.2,65.186,365.21,-33.394,117.14,-319.3,9_value
817.58,81.713,265.93,306.89,1087.7,-150.45,103.82,54.475,251.67,-182.02,8_value
190.81,-590.59,-419.33,667.1,1177,-236.97,570.63,-259.48,415.91,-372.65,9_value
798.08,-711.47,-140.04,514.41,1497.8,-158.3,560.2,-208.46,-85.756,208.82,9_value
1706.2,50.879,-1110.7,1194.8,1882.8,-481.03,691.03,-583.55,273.16,30.389,8_value
770.1,-524.9,388,-288.17,1227.4,-528.29,520.57,148.56,700.31,4.4438,9_value
1404.1,180.06,-906.99,1467.2,2047.6,-160.94,869.95,-43.545,793.92,328.43,8_value
1062.1,283.26,-530.27,888.38,1183.8,-200.87,403.55,-160.14,-28.225,531.48,8_value
1301.6,-72.788,-1233.8,746.68,1626.9,-150.68,941.77,-260.61,1125.5,92.628,8_value
941.07,-859.65,-442.46,955.44,1804.7,161.51,1101.9,-202.8,956.49,67.388,9_value
1373.5,-566.87,-531.36,954.72,1877,-283.45,1125.4,-592.98,659.94,-66.859,8_value
338.47,-77.071,-859.03,1386.2,1353.3,-174.56,879.67,-310.81,692.68,-234.45,9_value
953.17,564.21,393.51,596.98,1415.2,82.811,105.27,30.321,299.37,-163.49,8_value
925.15,406.53,-147.32,1251.6,1917.5,-309.72,873.15,-114.61,449.51,520.39,8_value
1452.3,-678.45,-482.66,497.44,895.23,-573.19,977.45,-580.64,546.14,67.668,8_value
1081.1,26.983,-166.08,1364.9,1945.8,-372.34,876.41,-561.37,1026.7,439.03,8_value
330.97,-356.9,-278.96,1118,1077.7,-176.89,782.43,-137.53,76.238,-273.46,9_value
748.68,705.88,430.95,420.58,1426.9,-108.41,348.58,-121.34,442.17,-45.965,8_value
370.94,-544.53,-55.759,459.67,950.76,50.789,333.39,-165.84,-62.948,333.95,9_value
1868.4,21.796,-712.14,1484.3,2030,-489.94,417.58,-353.29,574.85,362.85,8_value
1144.3,-773.58,-190.1,423.83,586.14,55.985,357.92,-316.77,349.36,757.18,9_value
836.25,-370.58,-735.91,1029.1,870.36,-159.63,408.78,-180.48,448.79,-497.43,9_value
1467.3,-153.73,-228.71,902.17,1796.4,-493.28,510.89,-366.01,230.04,185.03,8_value
581.24,149.67,425.85,783.95,1059.5,383.07,1038.8,-2.376,502.25,433.33,9_value
-37.952,-122.81,-276.81,608.67,656.08,-44.238,449.34,-248.89,468.48,-243.53,9_value
322.67,-714,104.09,617.36,1149.8,109.84,344.3,-290.4,430.21,246.78,9_value
1390.8,402.64,-764.25,1047.1,2095.4,-115.55,674,49.708,443.58,662.12,8_value
1038.7,-1012.9,-328.94,1148.7,1708,-336.71,877.27,-347.32,599.48,80.623,9_value
334.68,-429.59,-490.82,1210.6,1257.8,-86.293,712.94,-317.83,498.85,-444.6,9_value
456,46.091,-117.74,471.77,1101.2,-344.22,408.02,-147.43,196.45,334.3,8_value
1174.8,314.11,192.13,982.17,1649.1,-221.86,287.05,-278.56,120.11,295.07,8_value
975.6,-1096.3,-396.34,832.51,1644.3,96.207,727.97,-156.34,719.71,395.99,9_value
421.41,-496.2,-607.62,1310.3,1430.8,78.856,925.5,-70.395,600.43,-381.86,9_value
270.21,-279.52,-494.52,714.95,890.57,-459.91,269.98,-219.67,715.43,-407.35,9_value
1882.3,-197.34,-659.16,907.47,1504.1,-462.42,732.69,-521.72,233.88,376.81,8_value
847.9,222.28,-1140.2,1350.9,1708.8,-647.36,682.68,-573.11,741.46,-45.489,8_value
1023.6,-732.58,-444.37,1090.8,1783,-372.7,764.37,-337.2,525.94,44.87,9_value
1043.2,361.36,-1361.1,1269.2,1677,-262.4,596.69,-140.87,833.88,201.76,8_value
502.23,180.23,621.23,280.3,1262.2,-436.83,456.1,-206.82,698.16,-52.726,8_value
1419.2,731.9,649.91,538.25,1057.8,-55.584,953.46,579.02,732.67,-333.94,9_value
524.81,-607.34,-519.78,1306.8,1497.7,91.807,625.16,-63.554,551.31,-255.81,9_value
1022.8,-474.55,-269.89,184.8,751.41,147.98,234.73,-173.43,107.3,507.76,9_value
392.96,323.85,413.56,619.96,1231.8,-152.18,668.75,-369.07,574.66,407.64,8_value
1397.6,-115.32,741.37,897.11,1761.2,-315.87,307.83,23.302,774.81,184.06,9_value
860.15,-379.17,908.33,652.2,1457.4,134.27,316.78,-61.43,885.23,390.53,9_value
472.36,-676.69,-409.48,1360.1,1657.7,135.99,938.55,-149.82,636.4,-30.867,9_value
600.26,206.56,-360.57,317.42,1409.5,44.513,836.12,-287.96,-92.202,79.035,8_value
1143.7,90.794,-122.77,1167.3,1758.7,-190.32,410.91,-385.8,347.81,484.92,8_value
295.58,-488.74,-71.366,599.99,1040.2,54.695,347.94,-564.19,463.13,367.15,9_value
904.53,-989.34,117.98,1074,1627.8,369,615.42,-36.326,780.18,359.53,9_value
1224.9,-986.38,149.04,474.64,1904.2,114.45,942.38,-130.23,1112.6,518.27,9_value
1050,79.737,-518.16,711.66,1459.3,638.71,849.19,-384.89,689.37,545.46,8_value
492.44,-433.01,-578.83,469.42,1125.1,-45.932,486.75,-642.08,-75.311,-186.64,9_value
317.84,493.24,-855.12,745.15,977.82,-540.74,420.01,-73.754,267.45,210.69,8_value
-3.4926,-108.83,-546.23,723.62,905.3,-291.24,450.2,-3.2463,688.16,-415.31,9_value
169.15,-432.32,179.46,673.93,1013.9,248.73,372.53,-122.82,475.72,303.37,9_value
322.7,104.78,-84.084,607.4,1034.2,-73.671,459.63,-332.23,227.43,183.04,8_value
565.21,384.42,-1076.8,721.16,883.5,-343.42,431.69,-332.53,265.63,27.073,8_value
30.412,-48.836,-453.6,765.27,827.2,-338.67,623.2,-109.13,659.31,-312.31,9_value
661.29,518.6,-1295.9,849.99,1006.9,-505.15,290.67,-334.56,395.26,-37.891,8_value
88.817,116.05,-551.81,544.28,934.87,-395.58,169.48,67.642,677.59,-164.8,9_value
372.8,204.5,-933.34,822.92,885.68,-437.53,455.38,-443.08,211.75,-205.11,8_value
353.01,-333.39,-895.16,715.05,979.44,-335.94,298.88,-205.03,637.89,-458.15,9_value
1058.1,-780.39,86.432,273.34,1002.2,-67.461,5.4057,-108.05,617.78,287.7,9_value
251.04,480.8,-208.75,650.65,1105.4,49.558,529.34,-283.59,265.22,425.36,8_value
345.4,-62.458,-645.78,817.49,1028.3,-450.31,212.99,-452.78,463.19,-297.18,9_value
405.78,348.21,-935.63,723.45,930.91,-406.81,252.49,-366.81,302.79,-156.99,8_value
1226.7,158.99,-65.776,639.08,1427.3,-270.3,171.69,-575.98,128.57,271.9,8_value
189.43,-359.26,-123.67,761.03,632.91,106.19,492.31,-14.504,68.038,-56.498,9_value
910.56,225.08,-1002.1,801.74,1371,-363.7,-45.657,-603.26,236.09,-163.14,8_value
